waste_id,date_listed,category,sub_category,description,location,quantity_kg,unit,demand_index,price_per_unit_lkr,total_value_lkr,status
66061271-071a-40aa-80a8-fd0514749581,2026-01-29,Metal,Steel Scraps,Leftover Steel Scraps available at Seethawaka factory.,Seethawaka Export Processing Zone,284.18,kg,1.1,203.46,57819.26,Available
d12dcf37-36cd-480b-ab99-452ec191e88b,2026-01-29,Metal,Aluminum Cans,Dirty Aluminum Cans available at Horana factory.,Horana Export Processing Zone,1171.87,kg,0.97,400.18,468958.94,Available
6840f58b-af73-4797-9660-99a75fabab6b,2026-01-29,Plastic,HDPE Containers,Loose HDPE Containers available at Biyagama factory.,Biyagama Export Processing Zone,1184.38,kg,1.01,104.28,123507.15,Available
62879c68-9f88-46ae-8b47-fc97977244b1,2026-01-29,Textile Offcuts,Polyester,Mixed Polyester available at Horana factory.,Horana Export Processing Zone,501.51,kg,1.08,35.29,17698.29,Available
4bfdf234-696e-44a1-a047-2546e7209343,2026-01-29,Textile Offcuts,Cotton,Unsorted Cotton available at Seethawaka factory.,Seethawaka Export Processing Zone,1389.91,kg,0.84,52.92,73554.04,Sold
f7cbfcb2-da22-4a12-ae08-ad8792c5b275,2026-01-29,Textile Offcuts,Cotton,Unsorted Cotton available at Seethawaka factory.,Seethawaka Export Processing Zone,139.0,kg,1.15,152.15,21148.85,Available
c17fcfef-d9f7-4e8f-9eda-d3413ec955a4,2026-01-29,Metal,Steel Scraps,Loose Steel Scraps available at Katunayake factory.,Katunayake Export Processing Zone,1220.1,kg,1.03,225.85,275559.58,Sold
f555a8e3-8f7f-4735-bd7b-a74fa896d9cb,2026-01-29,Plastic,PET Bottles,Unsorted PET Bottles available at Seethawaka factory.,Seethawaka Export Processing Zone,1664.98,kg,0.81,68.54,114117.73,Available
a0a55c6d-1c66-4ef3-a218-6777f18aa082,2026-01-29,Paper,Cardboard,Mixed Cardboard available at Katunayake factory.,Katunayake Export Processing Zone,619.81,kg,1.03,50.68,31411.97,Available
143ff8b0-bca5-4f6d-85d8-027f14a4c592,2026-01-29,Chemical,Empty Drums (Plastic),Clean Empty Drums (Plastic) available at Colombo factory.,Colombo Industrial Zone,666.57,units,1.04,593.64,395702.61,Available
2bf3a630-f668-4d27-ba7f-93afdc1e30b4,2026-01-29,Textile Offcuts,Mixed,Dirty Mixed available at Colombo factory.,Colombo Industrial Zone,203.9,kg,1.09,28.91,5894.75,Available
ad0f64ef-db28-4bb3-bf92-90490341534e,2026-01-29,Plastic,LDPE Wrap,Unsorted LDPE Wrap available at Koggala factory.,Koggala Export Processing Zone,1888.46,kg,1.03,114.22,215699.9,Available
e0b0acb3-0eb4-4384-8817-9b019b1ae235,2026-01-29,Textile Offcuts,Mixed,Mixed Mixed available at Seethawaka factory.,Seethawaka Export Processing Zone,432.46,kg,1.06,28.08,12143.48,Available
cc4af5ae-2baf-4eca-8204-6da609d44fda,2026-01-29,Metal,Steel Scraps,Mixed Steel Scraps available at Colombo factory.,Colombo Industrial Zone,1287.05,kg,0.82,141.41,182001.74,Available
bd2a72ed-12f2-478c-8c35-769ec617f05e,2026-01-29,Organic,Food Waste,Unsorted Food Waste available at Biyagama factory.,Biyagama Export Processing Zone,213.17,kg,0.98,5.81,1238.52,Available
7f814ac4-dbd1-44d2-821e-db72ad199b04,2026-01-29,Textile Offcuts,Polyester,Leftover Polyester available at Koggala factory.,Koggala Export Processing Zone,1349.32,kg,0.89,68.25,92091.09,Available
69f38e23-d987-473b-9a41-85bb7b55a5cd,2026-01-29,Organic,Food Waste,Unsorted Food Waste available at Katunayake factory.,Katunayake Export Processing Zone,311.7,kg,0.83,5.9,1839.03,Available
d5e4eeb1-9986-4d55-94eb-23c787924856,2026-01-29,Paper,Cardboard,Loose Cardboard available at Ekala factory.,Ekala Industrial Estate,1009.11,kg,1.07,35.05,35369.31,Available
52ceef2d-708b-47be-bb07-5aec0367f684,2026-01-29,Plastic,LDPE Wrap,Baled LDPE Wrap available at Paliyagoda factory.,Paliyagoda,1240.74,kg,0.84,91.75,113837.9,Available
91cb1ef8-fb01-4121-b976-58b2cb129275,2026-01-29,Metal,Steel Scraps,Loose Steel Scraps available at Colombo factory.,Colombo Industrial Zone,280.03,kg,0.91,148.83,41676.86,Available
dd17f825-3acb-461f-8c0b-7a79cdb8a6f0,2026-01-29,Plastic,PET Bottles,Dirty PET Bottles available at Ekala factory.,Ekala Industrial Estate,388.37,kg,1.08,97.61,37908.8,Available
0f8c7b85-eba8-4f29-b6dc-55c4f7a77d43,2026-01-29,Paper,Mixed,Clean Mixed available at Ekala factory.,Ekala Industrial Estate,1475.24,kg,1.09,22.5,33192.9,Available
53060454-b4b6-4ed8-9b8f-351b66756da0,2026-01-29,Chemical,Empty Drums (Plastic),Mixed Empty Drums (Plastic) available at Horana factory.,Horana Export Processing Zone,1854.28,units,1.09,813.36,1508197.18,Available
11d501c6-8644-460a-9704-20997ea6a275,2026-01-29,Plastic,HDPE Containers,Clean HDPE Containers available at Paliyagoda factory.,Paliyagoda,1896.28,kg,1.16,121.39,230189.43,Available
9335d960-66ed-4bfb-9eaf-5c44c81cbae1,2026-01-29,Paper,Cardboard,Mixed Cardboard available at Biyagama factory.,Biyagama Export Processing Zone,768.61,kg,0.92,34.12,26224.97,Available
81652c14-eaac-4069-b058-855c6fc1456a,2026-01-29,Chemical,Empty Drums (Plastic),Sorted Empty Drums (Plastic) available at Horana factory.,Horana Export Processing Zone,1583.61,units,0.84,522.63,827642.09,Available
c7882d48-d13f-4a42-86f8-6076a5ba1f49,2026-01-29,Metal,Steel Scraps,Sorted Steel Scraps available at Katunayake factory.,Katunayake Export Processing Zone,1176.11,kg,0.94,149.31,175604.98,Available
b1b7f79c-cd33-4b89-8449-b246834b953f,2026-01-29,Paper,Mixed,Mixed Mixed available at Seethawaka factory.,Seethawaka Export Processing Zone,1547.27,kg,0.94,20.25,31332.22,Available
4b80e14f-6003-43eb-910d-ec18b98c7f96,2026-01-29,Paper,Mixed,Sorted Mixed available at Colombo factory.,Colombo Industrial Zone,1838.13,kg,1.19,27.77,51044.87,Available
f45edf80-9ddf-4e73-ab3d-00cb5cea1d4c,2026-01-29,Paper,Cardboard,Dirty Cardboard available at Katunayake factory.,Katunayake Export Processing Zone,1590.11,kg,1.18,37.62,59819.94,Available
b8f9b6af-f20e-4b0c-86d1-7e07a7645fb5,2026-01-29,Textile Offcuts,Mixed,Mixed Mixed available at Koggala factory.,Koggala Export Processing Zone,496.27,kg,1.13,40.11,19905.39,Available
841d1558-0618-416d-be32-3fd8f64db9ce,2026-01-29,Plastic,PET Bottles,Dirty PET Bottles available at Katunayake factory.,Katunayake Export Processing Zone,1937.75,kg,1.2,104.22,201952.3,Available
5401fac5-9576-463e-97c3-0ae5417018ad,2026-01-29,Textile Offcuts,Mixed,Mixed Mixed available at Seethawaka factory.,Seethawaka Export Processing Zone,1626.84,kg,1.11,24.22,39402.06,Available
bb7f7872-6d0f-4515-86e4-f8e89e615b58,2026-01-29,Chemical,Empty Drums (Plastic),Dirty Empty Drums (Plastic) available at Katunayake factory.,Katunayake Export Processing Zone,1101.83,units,1.18,812.77,895534.37,Available
e7c34238-8ee5-478b-aa3d-8481e014d279,2026-01-29,Chemical,Empty Drums (Plastic),Unsorted Empty Drums (Plastic) available at Koggala factory.,Koggala Export Processing Zone,1165.33,units,1.05,806.52,939861.95,Sold
c48a8f1b-820e-4c2b-ae6e-346ac6bb0247,2026-01-29,Paper,Cardboard,Clean Cardboard available at Horana factory.,Horana Export Processing Zone,644.02,kg,0.89,45.92,29573.4,Available
47a93c3d-320a-473d-9e9d-ea6ae7bd0ae7,2026-01-29,Textile Offcuts,Polyester,Sorted Polyester available at Colombo factory.,Colombo Industrial Zone,1901.99,kg,1.07,66.31,126120.96,Available
b38037ac-d49f-464e-b130-7115e206ed43,2026-01-29,Paper,Cardboard,Dirty Cardboard available at Paliyagoda factory.,Paliyagoda,1598.75,kg,1.1,52.3,83614.62,Sold
e196450d-43ab-4275-a192-f93ed1011f3d,2026-01-29,Paper,Mixed,Dirty Mixed available at Katunayake factory.,Katunayake Export Processing Zone,1053.76,kg,0.94,18.49,19484.02,Available
d3c44927-0f06-41b9-894c-f8337c40c51f,2026-01-29,Plastic,PET Bottles,Sorted PET Bottles available at Koggala factory.,Koggala Export Processing Zone,208.31,kg,0.9,109.25,22757.87,Sold
a8867964-1ff7-4438-9b0c-435b003ac782,2026-01-29,Metal,Steel Scraps,Mixed Steel Scraps available at Koggala factory.,Koggala Export Processing Zone,443.78,kg,0.92,222.76,98856.43,Available
41b854f6-8b80-4d8d-99fc-dc30079ba8ae,2026-01-29,Plastic,PET Bottles,Loose PET Bottles available at Biyagama factory.,Biyagama Export Processing Zone,1592.01,kg,1.08,103.75,165171.04,Sold
165ccb85-deba-42c4-95e5-a574cef1b4d9,2026-01-29,Textile Offcuts,Mixed,Dirty Mixed available at Koggala factory.,Koggala Export Processing Zone,876.57,kg,1.11,64.6,56626.42,Available
50ce9a79-36c1-464a-ba18-323f940cea87,2026-01-29,Chemical,Empty Drums (Plastic),Leftover Empty Drums (Plastic) available at Seethawaka factory.,Seethawaka Export Processing Zone,1315.64,units,0.85,427.64,562620.29,Available
b087cb27-066c-439f-a6dd-ea0c95b0265b,2026-01-29,Chemical,Empty Drums (Plastic),Mixed Empty Drums (Plastic) available at Seethawaka factory.,Seethawaka Export Processing Zone,543.67,units,1.17,656.58,356962.85,Available
a30804fc-2c16-4ee1-8457-c921dbff163d,2026-01-29,Organic,Food Waste,Baled Food Waste available at Ekala factory.,Ekala Industrial Estate,240.84,kg,0.98,9.98,2403.58,Sold
0f20cae5-5b8a-4b81-91aa-2dd9ebf4c27d,2026-01-29,Textile Offcuts,Mixed,Dirty Mixed available at Biyagama factory.,Biyagama Export Processing Zone,473.53,kg,1.04,39.33,18623.93,Available
d3ccad03-4005-4cdb-b599-40ff2171c995,2026-01-29,Plastic,LDPE Wrap,Mixed LDPE Wrap available at Paliyagoda factory.,Paliyagoda,1364.88,kg,1.15,136.6,186442.61,Available
6602f8d5-435a-4eff-8d77-b9f3751260eb,2026-01-29,Plastic,PET Bottles,Baled PET Bottles available at Seethawaka factory.,Seethawaka Export Processing Zone,828.64,kg,1.12,118.97,98583.3,Available
5b959fdd-b01c-45a3-aeb5-8bd1e664f090,2026-01-29,Textile Offcuts,Polyester,Baled Polyester available at Ekala factory.,Ekala Industrial Estate,1424.51,kg,1.11,74.85,106624.57,Available
25bf9299-6188-43ac-8ee3-33b782fc1d84,2026-01-29,Metal,Steel Scraps,Leftover Steel Scraps available at Colombo factory.,Colombo Industrial Zone,1482.29,kg,0.95,179.49,266056.23,Available
798f6b23-3971-474f-a6fa-6dc30971cdb1,2026-01-29,Plastic,LDPE Wrap,Baled LDPE Wrap available at Seethawaka factory.,Seethawaka Export Processing Zone,470.28,kg,0.81,70.81,33300.53,Available
ded468c2-1b7b-41ba-b26e-7ac4d213cd63,2026-01-29,Textile Offcuts,Polyester,Dirty Polyester available at Horana factory.,Horana Export Processing Zone,1530.55,kg,0.95,61.41,93991.08,Available
9e159818-5eb1-4473-9b6b-29d223242d77,2026-01-29,Plastic,PET Bottles,Baled PET Bottles available at Colombo factory.,Colombo Industrial Zone,341.19,kg,1.0,115.06,39257.32,Sold
cf848eff-62ac-41f3-9f15-75b0b7e40c14,2026-01-29,Organic,Food Waste,Unsorted Food Waste available at Seethawaka factory.,Seethawaka Export Processing Zone,1230.04,kg,0.82,6.83,8401.17,Available
